player_id,player_name,team_id,sport_type,position,jersey_number,birth_date,height_cm,weight_kg,nationality,join_date,status
P0024,球员24,T002,篮球,大前锋,34,1994-02-04,202,66,中国,2023-03-01,现役
P0025,球员25,T003,篮球,小前锋,27,2004-11-21,173,105,中国,2019-09-01,伤病
P0026,球员26,T003,篮球,得分后卫,36,1993-01-01,163,65,中国,2020-03-01,现役
P0027,球员27,T003,篮球,控球后卫,91,1990-07-18,207,88,中国,2015-02-01,现役
P0028,球员28,T003,篮球,小前锋,75,1989-09-05,194,62,中国,2021-03-01,现役
P0029,球员29,T003,篮球,中锋,46,1994-04-22,183,117,中国,2018-11-01,现役
P0030,球员30,T003,篮球,得分后卫,80,1996-12-05,209,95,中国,2018-03-01,现役
P0031,球员31,T003,篮球,小前锋,53,1998-11-28,161,71,中国,2018-05-01,现役
P0032,球员32,T003,篮球,中锋,61,1988-04-07,184,115,中国,2022-06-01,现役
P0033,球员33,T003,篮球,大前锋,52,1992-06-09,174,61,中国,2016-05-01,现役
P0034,球员34,T003,篮球,控球后卫,43,2005-01-04,192,85,中国,2019-03-01,停赛
P0035,球员35,T003,篮球,控球后卫,56,1993-06-24,162,66,中国,2020-07-01,停赛
P0036,球员36,T003,篮球,控球后卫,25,2001-05-02,167,84,中国,2021-01-01,停赛
P0037,球员37,T004,篮球,中锋,86,1991-06-20,183,87,中国,2020-11-01,现役
P0038,球员38,T004,篮球,得分后卫,42,1994-07-23,192,79,中国,2019-09-01,现役
P0039,球员39,T004,篮球,得分后卫,87,1991-12-06,186,102,中国,2019-07-01,停赛
P0040,球员40,T004,篮球,大前锋,56,1985-10-20,179,78,中国,2020-08-01,伤病
P0041,球员41,T004,篮球,控球后卫,61,1999-12-06,203,73,中国,2016-05-01,停赛
P0042,球员42,T004,篮球,中锋,97,2005-04-22,199,81,中国,2019-04-01,现役
P0043,球员43,T004,篮球,大前锋,61,1989-10-28,161,62,中国,2016-08-01,伤病
P0044,球员44,T004,篮球,得分后卫,64,2005-07-08,196,72,中国,2017-11-01,现役
P0045,球员45,T004,篮球,大前锋,23,1988-12-17,209,87,中国,2022-01-01,停赛
P0046,球员46,T004,篮球,大前锋,60,1992-11-17,167,89,中国,2023-10-01,现役
P0047,球员47,T004,篮球,控球后卫,55,1999-09-15,199,112,中国,2017-12-01,伤病
P0048,球员48,T004,篮球,大前锋,82,1999-05-25,176,108,中国,2023-08-01,现役
P0049,球员49,T004,篮球,小前锋,31,1993-05-11,188,64,中国,2020-09-01,现役
P0050,球员50,T004,篮球,得分后卫,89,1989-03-23,169,74,中国,2018-02-01,伤病
P0051,球员51,T005,篮球,得分后卫,8,1995-04-27,194,89,中国,2021-07-01,停赛
P0052,球员52,T005,篮球,得分后卫,62,1985-01-12,208,96,中国,2019-07-01,伤病
P0053,球员53,T005,篮球,控球后卫,78,2002-04-16,207,107,中国,2018-05-01,伤病
P0054,球员54,T005,篮球,小前锋,86,2000-11-26,161,84,中国,2021-12-01,现役
P0055,球员55,T005,篮球,控球后卫,4,1999-07-19,168,99,中国,2015-02-01,伤病
P0056,球员56,T005,篮球,中锋,34,1989-07-11,189,71,中国,2018-08-01,现役
P0057,球员57,T005,篮球,得分后卫,36,1995-07-09,208,116,中国,2016-08-01,现役
P0058,球员58,T005,篮球,小前锋,29,2002-11-03,163,120,中国,2015-01-01,现役
P0059,球员59,T005,篮球,大前锋,31,1991-03-16,161,99,中国,2016-10-01,现役
P0060,球员60,T005,篮球,小前锋,22,1999-10-20,204,76,中国,2016-03-01,现役
P0061,球员61,T005,篮球,小前锋,74,1988-11-13,197,61,中国,2021-12-01,现役
P0062,球员62,T005,篮球,大前锋,14,1987-12-25,197,104,中国,2019-11-01,停赛
P0063,球员63,T005,篮球,中锋,45,1988-09-14,210,96,中国,2020-02-01,停赛
P0064,球员64,T006,篮球,得分后卫,63,1995-02-14,160,114,中国,2020-11-01,伤病
P0065,球员65,T006,篮球,控球后卫,84,1989-05-20,187,71,中国,2023-08-01,伤病
P0066,球员66,T006,篮球,小前锋,42,1998-04-27,206,97,中国,2016-05-01,伤病
P0067,球员67,T006,篮球,控球后卫,79,1992-11-13,208,89,中国,2020-01-01,伤病
P0068,球员68,T006,篮球,大前锋,46,1995-05-11,171,91,中国,2019-10-01,现役
P0069,球员69,T006,篮球,大前锋,11,2002-04-24,160,93,中国,2021-08-01,停赛
P0070,球员70,T006,篮球,得分后卫,58,1992-01-03,204,90,中国,2019-04-01,伤病
P0071,球员71,T006,篮球,控球后卫,48,1992-08-18,179,102,中国,2023-06-01,伤病
P0072,球员72,T006,篮球,得分后卫,35,2002-05-09,181,82,中国,2018-02-01,现役
P0073,球员73,T006,篮球,控球后卫,98,1995-12-06,167,107,中国,2018-04-01,伤病
P0074,球员74,T006,篮球,控球后卫,77,1993-05-04,206,97,中国,2018-05-01,现役
P0075,球员75,T006,篮球,中锋,91,1996-09-05,171,79,中国,2019-01-01,现役
P0076,球员76,T006,篮球,大前锋,82,2002-08-04,178,104,中国,2015-10-01,现役
P0077,球员77,T006,篮球,小前锋,24,2000-01-09,190,88,中国,2022-02-01,现役
P0078,球员78,T006,篮球,控球后卫,81,1997-11-02,191,64,中国,2017-03-01,停赛
P0079,球员79,T007,篮球,控球后卫,98,1987-07-20,175,67,中国,2018-09-01,伤病
P0080,球员80,T007,篮球,控球后卫,55,1999-05-19,188,79,中国,2015-10-01,现役
P0081,球员81,T007,篮球,小前锋,85,1991-02-06,200,73,中国,2018-03-01,停赛
P0082,球员82,T007,篮球,得分后卫,58,1987-12-20,170,60,中国,2022-05-01,现役
P0083,球员83,T007,篮球,小前锋,90,1992-08-03,178,105,中国,2018-05-01,停赛
P0084,球员84,T007,篮球,控球后卫,29,1991-11-05,187,67,中国,2019-03-01,现役
P0085,球员85,T007,篮球,小前锋,77,1986-12-27,170,110,中国,2019-08-01,现役
P0086,球员86,T007,篮球,得分后卫,35,1999-09-18,204,79,中国,2022-08-01,现役
P0087,球员87,T007,篮球,得分后卫,95,2004-06-20,162,116,中国,2019-01-01,现役
P0088,球员88,T007,篮球,控球后卫,76,1992-01-25,203,113,中国,2019-10-01,现役
P0089,球员89,T007,篮球,得分后卫,36,1990-03-19,190,93,中国,2021-11-01,伤病
P0090,球员90,T007,篮球,得分后卫,43,1987-06-22,190,82,中国,2016-03-01,现役
P0091,球员91,T008,篮球,得分后卫,98,2000-09-02,178,102,中国,2022-02-01,现役
P0092,球员92,T008,篮球,得分后卫,66,1993-01-22,180,67,中国,2023-08-01,伤病
P0093,球员93,T008,篮球,小前锋,80,1986-08-21,172,93,中国,2022-01-01,现役
P0094,球员94,T008,篮球,小前锋,57,1993-12-16,195,68,中国,2016-01-01,停赛
P0095,球员95,T008,篮球,小前锋,71,1992-01-18,205,70,中国,2021-02-01,现役
P0096,球员96,T008,篮球,中锋,83,1988-03-16,189,120,中国,2019-09-01,现役
P0097,球员97,T008,篮球,大前锋,59,1998-09-05,190,90,中国,2021-04-01,停赛
P0098,球员98,T008,篮球,大前锋,9,2001-05-25,207,116,中国,2021-06-01,停赛
P0099,球员99,T008,篮球,小前锋,76,1993-10-22,160,78,中国,2022-03-01,伤病
P0100,球员100,T008,篮球,小前锋,71,2002-09-13,190,82,中国,2022-06-01,现役
P0101,球员101,T008,篮球,大前锋,53,1992-01-11,196,84,中国,2022-12-01,伤病
P0102,球员102,T008,篮球,大前锋,64,1997-01-05,202,110,中国,2023-10-01,现役
P0103,球员103,T008,篮球,控球后卫,59,1988-01-24,188,66,中国,2017-07-01,现役
P0104,球员104,T009,足球,中场,80,2000-12-13,190,66,中国,2016-06-01,停赛
P0105,球员105,T009,足球,前锋,70,1997-01-20,175,90,中国,2016-04-01,现役
P0106,球员106,T009,足球,前锋,13,1992-11-23,188,55,中国,2016-08-01,现役
P0107,球员107,T009,足球,中场,8,1994-05-12,165,52,中国,2020-07-01,现役
P0108,球员108,T009,足球,后卫,22,1992-03-03,181,76,中国,2021-10-01,现役
P0109,球员109,T009,足球,后卫,60,2000-11-09,183,59,中国,2022-05-01,现役
P0110,球员110,T009,足球,后卫,10,1999-08-12,174,84,中国,2019-11-01,伤病
P0111,球员111,T009,足球,后卫,50,1993-08-04,179,69,中国,2018-07-01,停赛
P0112,球员112,T009,足球,中场,3,1996-11-13,183,68,中国,2019-01-01,停赛
P0113,球员113,T009,足球,中场,30,1986-10-26,184,81,中国,2020-04-01,现役
P0114,球员114,T009,足球,门将,81,2004-11-02,173,58,中国,2019-08-01,现役
P0115,球员115,T009,足球,门将,38,2003-06-24,176,58,中国,2021-03-01,现役
P0116,球员116,T009,足球,中场,68,1989-09-09,190,84,中国,2017-05-01,伤病
P0117,球员117,T009,足球,门将,60,1994-02-05,188,71,中国,2018-11-01,伤病
P0118,球员118,T009,足球,前锋,2,2002-05-18,176,55,中国,2016-08-01,现役
P0119,球员119,T009,足球,中场,14,1993-11-08,183,74,中国,2022-01-01,停赛
P0120,球员120,T009,足球,后卫,83,2002-02-21,175,89,中国,2022-12-01,现役
P0121,球员121,T009,足球,后卫,6,2005-01-10,178,57,中国,2022-02-01,现役
P0122,球员122,T009,足球,前锋,59,1992-06-22,182,58,中国,2023-07-01,停赛
P0123,球员123,T009,足球,前锋,79,1989-07-09,178,56,中国,2015-12-01,现役
P0124,球员124,T009,足球,后卫,47,1991-02-22,179,78,中国,2020-09-01,现役
P0125,球员125,T010,足球,门将,59,1997-02-22,173,62,中国,2018-11-01,停赛
P0126,球员126,T010,足球,后卫,17,1985-10-07,166,71,中国,2016-09-01,现役
P0127,球员127,T010,足球,中场,19,2003-10-01,171,64,中国,2019-03-01,现役
P0128,球员128,T010,足球,门将,85,2002-01-05,173,61,中国,2015-06-01,现役
P0129,球员129,T010,足球,后卫,34,2003-01-05,175,51,中国,2021-09-01,现役
P0130,球员130,T010,足球,中场,66,1987-10-04,180,78,中国,2022-09-01,现役
P0131,球员131,T010,足球,中场,59,2004-11-01,166,83,中国,2015-08-01,伤病
P0132,球员132,T010,足球,前锋,92,1998-08-03,186,56,中国,2016-06-01,停赛
P0133,球员133,T010,足球,中场,80,1989-11-19,167,58,中国,2023-12-01,现役
P0134,球员134,T010,足球,中场,59,1997-09-20,184,83,中国,2021-02-01,现役
P0135,球员135,T010,足球,后卫,56,2005-08-08,185,85,中国,2021-06-01,伤病
P0136,球员136,T010,足球,中场,55,1997-06-22,178,56,中国,2019-06-01,现役
P0137,球员137,T010,足球,门将,12,2000-07-04,167,55,中国,2020-03-01,停赛
P0138,球员138,T010,足球,中场,86,1986-02-14,183,85,中国,2020-11-01,伤病
P0139,球员139,T010,足球,中场,46,1986-02-19,174,88,中国,2023-04-01,现役
P0140,球员140,T010,足球,中场,72,2000-06-04,172,56,中国,2019-10-01,现役
P0141,球员141,T010,足球,门将,78,1998-11-27,182,89,中国,2019-01-01,现役
P0142,球员142,T010,足球,中场,45,1993-01-06,187,69,中国,2017-10-01,伤病
P0143,球员143,T010,足球,门将,12,1987-12-17,169,90,中国,2018-07-01,伤病
P0144,球员144,T010,足球,中场,40,1999-12-11,175,60,中国,2016-01-01,现役
P0145,球员145,T011,足球,中场,57,2004-11-14,166,55,中国,2022-10-01,伤病
P0146,球员146,T011,足球,门将,45,1998-07-04,173,63,中国,2019-11-01,停赛
P0147,球员147,T011,足球,门将,29,2000-07-20,181,69,中国,2015-01-01,现役
P0148,球员148,T011,足球,中场,38,1994-06-04,171,58,中国,2015-08-01,伤病
P0149,球员149,T011,足球,后卫,65,1990-09-27,169,74,中国,2020-02-01,伤病
P0150,球员150,T011,足球,前锋,10,1986-06-19,178,51,中国,2021-10-01,伤病
P0151,球员151,T011,足球,门将,52,2005-01-11,178,68,中国,2017-10-01,伤病
P0152,球员152,T011,足球,门将,32,1996-07-19,167,77,中国,2021-09-01,现役
P0153,球员153,T011,足球,后卫,43,1997-03-03,174,71,中国,2023-11-01,现役
P0154,球员154,T011,足球,中场,45,2001-12-27,181,62,中国,2017-04-01,现役
P0155,球员155,T011,足球,后卫,78,1989-03-25,173,62,中国,2016-03-01,伤病
P0156,球员156,T011,足球,前锋,88,1999-10-21,189,86,中国,2020-11-01,现役
P0157,球员157,T011,足球,前锋,57,1989-11-10,179,54,中国,2019-10-01,现役
P0158,球员158,T011,足球,中场,60,1996-08-02,181,54,中国,2015-06-01,现役
P0159,球员159,T011,足球,前锋,60,1987-10-18,185,55,中国,2015-08-01,停赛
P0160,球员160,T011,足球,前锋,65,2005-03-02,171,70,中国,2022-02-01,现役
P0161,球员161,T011,足球,门将,32,1987-12-15,181,61,中国,2022-09-01,停赛
P0162,球员162,T011,足球,中场,37,2004-07-14,170,73,中国,2020-11-01,停赛
P0163,球员163,T011,足球,中场,9,1986-06-04,190,90,中国,2023-11-01,伤病
P0164,球员164,T011,足球,后卫,43,1994-02-19,173,88,中国,2017-06-01,现役
P0165,球员165,T011,足球,后卫,77,2005-12-03,187,75,中国,2019-09-01,伤病
P0166,球员166,T011,足球,后卫,86,2005-12-27,190,71,中国,2023-02-01,伤病
P0167,球员167,T012,足球,中场,24,1996-04-11,165,73,中国,2022-04-01,现役
P0168,球员168,T012,足球,中场,13,1989-09-25,169,54,中国,2023-12-01,停赛
P0169,球员169,T012,足球,后卫,77,1986-07-05,186,71,中国,2017-03-01,停赛
P0170,球员170,T012,足球,门将,53,1990-06-22,188,78,中国,2018-08-01,停赛
P0171,球员171,T012,足球,后卫,69,1994-04-10,189,78,中国,2022-04-01,现役
P0172,球员172,T012,足球,中场,49,2003-09-17,179,79,中国,2021-03-01,现役
P0173,球员173,T012,足球,门将,83,2004-08-28,169,66,中国,2020-09-01,现役
P0174,球员174,T012,足球,门将,98,2001-03-09,168,68,中国,2022-09-01,现役
P0175,球员175,T012,足球,前锋,45,1998-01-14,167,64,中国,2015-07-01,停赛
P0176,球员176,T012,足球,门将,48,1996-04-01,172,74,中国,2020-02-01,现役
P0177,球员177,T012,足球,中场,61,1989-12-27,169,52,中国,2017-12-01,伤病
P0178,球员178,T012,足球,门将,3,1999-05-07,184,50,中国,2017-09-01,停赛
P0179,球员179,T012,足球,中场,31,2001-05-04,178,57,中国,2015-04-01,伤病
P0180,球员180,T012,足球,前锋,9,2005-02-27,190,89,中国,2022-10-01,停赛
P0181,球员181,T012,足球,后卫,92,1985-03-10,185,82,中国,2021-01-01,停赛
P0182,球员182,T012,足球,前锋,24,1996-11-22,172,86,中国,2016-09-01,现役
P0183,球员183,T012,足球,门将,50,1987-08-02,181,84,中国,2021-06-01,现役
P0184,球员184,T012,足球,中场,31,1985-12-22,176,54,中国,2016-10-01,现役
P0185,球员185,T012,足球,中场,83,1989-03-27,166,72,中国,2022-12-01,伤病
P0186,球员186,T012,足球,门将,92,2005-08-02,170,58,中国,2019-04-01,现役
P0187,球员187,T012,足球,中场,66,1991-07-27,166,70,中国,2023-08-01,现役
P0188,球员188,T012,足球,中场,46,1986-01-28,189,62,中国,2020-05-01,现役
P0189,球员189,T012,足球,前锋,50,1996-06-06,178,75,中国,2022-12-01,伤病
P0190,球员190,T012,足球,中场,11,1996-12-14,190,83,中国,2016-07-01,停赛
P0191,球员191,T012,足球,中场,14,1990-02-11,182,68,中国,2019-05-01,伤病
P0192,球员192,T012,足球,后卫,89,2004-08-12,187,77,中国,2022-01-01,现役
P0193,球员193,T012,足球,门将,10,2004-11-21,178,67,中国,2021-06-01,停赛
P0194,球员194,T012,足球,前锋,5,1990-03-03,165,59,中国,2018-11-01,现役
P0195,球员195,T013,足球,后卫,87,1997-08-12,183,52,中国,2020-08-01,现役
P0196,球员196,T013,足球,中场,51,2003-06-21,169,83,中国,2019-04-01,现役
P0197,球员197,T013,足球,前锋,67,1985-07-18,188,61,中国,2016-05-01,现役
P0198,球员198,T013,足球,中场,89,1999-08-07,171,89,中国,2016-03-01,现役
P0199,球员199,T013,足球,门将,88,1999-06-22,170,78,中国,2020-12-01,现役
P0200,球员200,T013,足球,中场,21,2002-12-23,182,68,中国,2017-06-01,停赛
P0201,球员201,T013,足球,后卫,31,1992-08-01,168,62,中国,2020-09-01,停赛
P0202,球员202,T013,足球,后卫,79,1996-02-03,179,85,中国,2019-07-01,伤病
P0203,球员203,T013,足球,门将,17,2001-06-21,178,76,中国,2016-08-01,伤病
P0204,球员204,T013,足球,后卫,99,2001-03-14,176,58,中国,2023-01-01,现役
P0205,球员205,T013,足球,后卫,21,2001-06-23,169,69,中国,2018-06-01,停赛
P0206,球员206,T013,足球,后卫,82,1994-09-09,167,66,中国,2017-11-01,现役
P0207,球员207,T013,足球,后卫,76,2004-10-05,182,55,中国,2017-11-01,停赛
P0208,球员208,T013,足球,门将,4,2004-02-02,175,86,中国,2019-11-01,现役
P0209,球员209,T013,足球,门将,64,2003-11-18,178,89,中国,2019-11-01,现役
P0210,球员210,T013,足球,中场,59,2000-02-23,172,75,中国,2015-03-01,伤病
P0211,球员211,T013,足球,后卫,44,1998-10-05,180,79,中国,2020-12-01,现役
P0212,球员212,T013,足球,中场,66,1996-09-04,177,58,中国,2020-04-01,伤病
P0213,球员213,T013,足球,后卫,19,1988-02-02,173,78,中国,2019-07-01,停赛
P0214,球员214,T013,足球,中场,74,1998-12-11,172,60,中国,2018-03-01,伤病
P0215,球员215,T013,足球,中场,64,2001-01-03,179,81,中国,2021-09-01,伤病
P0216,球员216,T013,足球,中场,7,1992-01-10,171,87,中国,2022-10-01,伤病
P0217,球员217,T013,足球,门将,56,1994-03-09,182,50,中国,2020-07-01,现役
P0218,球员218,T013,足球,后卫,47,1986-09-10,177,53,中国,2016-07-01,停赛
P0219,球员219,T013,足球,中场,80,1999-11-20,189,85,中国,2016-03-01,现役
P0220,球员220,T014,足球,中场,97,1996-03-07,190,71,中国,2023-07-01,停赛
P0221,球员221,T014,足球,后卫,92,1986-06-26,166,52,中国,2022-09-01,伤病
P0222,球员222,T014,足球,后卫,42,1989-10-11,184,82,中国,2017-07-01,停赛
P0223,球员223,T014,足球,前锋,91,1994-10-10,183,71,中国,2022-01-01,现役
P0224,球员224,T014,足球,前锋,75,1995-05-26,186,57,中国,2015-10-01,伤病
P0225,球员225,T014,足球,后卫,93,1993-01-19,185,87,中国,2022-03-01,停赛
P0226,球员226,T014,足球,前锋,19,2005-11-08,188,89,中国,2015-10-01,现役
P0227,球员227,T014,足球,中场,54,1991-03-14,165,78,中国,2018-07-01,停赛
P0228,球员228,T014,足球,后卫,67,2004-04-18,180,53,中国,2020-11-01,伤病
P0229,球员229,T014,足球,后卫,59,2001-09-11,177,70,中国,2023-06-01,现役
P0230,球员230,T014,足球,后卫,36,2004-09-10,180,62,中国,2018-05-01,现役
P0231,球员231,T014,足球,中场,62,1991-06-18,187,81,中国,2019-05-01,现役
P0232,球员232,T014,足球,前锋,51,2003-06-25,186,84,中国,2017-05-01,现役
P0233,球员233,T014,足球,中场,57,1994-11-09,187,55,中国,2022-04-01,现役
P0234,球员234,T014,足球,中场,18,2002-02-20,173,85,中国,2018-04-01,现役
P0235,球员235,T014,足球,后卫,7,2001-02-14,172,90,中国,2020-12-01,伤病
P0236,球员236,T014,足球,门将,71,1988-03-14,186,58,中国,2022-08-01,现役
P0237,球员237,T014,足球,门将,99,1994-02-21,175,68,中国,2018-09-01,现役
P0238,球员238,T014,足球,门将,51,1990-08-06,178,61,中国,2019-01-01,现役
P0239,球员239,T014,足球,门将,43,1994-05-15,183,88,中国,2023-09-01,伤病
P0240,球员240,T014,足球,中场,25,1989-02-11,181,79,中国,2017-12-01,伤病
P0241,球员241,T014,足球,门将,95,2005-06-26,173,61,中国,2019-10-01,现役
P0242,球员242,T014,足球,前锋,55,1990-09-11,184,90,中国,2016-07-01,现役
P0243,球员243,T014,足球,中场,32,1990-01-09,169,80,中国,2021-04-01,伤病
P0244,球员244,T014,足球,门将,34,1993-11-12,175,69,中国,2018-01-01,现役
P0245,球员245,T014,足球,前锋,88,1999-09-23,174,60,中国,2019-12-01,现役
P0246,球员246,T015,足球,后卫,29,1994-03-16,176,89,中国,2017-08-01,停赛
P0247,球员247,T015,足球,前锋,97,1996-09-26,178,85,中国,2018-04-01,停赛
P0248,球员248,T015,足球,中场,10,1987-10-04,181,78,中国,2015-09-01,停赛
P0249,球员249,T015,足球,后卫,22,1991-06-28,183,84,中国,2023-08-01,现役
P0250,球员250,T015,足球,前锋,12,1991-09-15,187,87,中国,2015-08-01,现役
P0251,球员251,T015,足球,门将,72,2001-08-22,178,79,中国,2019-12-01,现役
P0252,球员252,T015,足球,后卫,75,1997-02-02,173,50,中国,2021-06-01,现役
P0253,球员253,T015,足球,前锋,5,2002-05-14,166,54,中国,2017-03-01,伤病
P0254,球员254,T015,足球,前锋,49,1996-02-22,177,78,中国,2023-03-01,现役
P0255,球员255,T015,足球,前锋,68,1988-03-24,170,84,中国,2018-01-01,现役
P0256,球员256,T015,足球,前锋,69,1994-07-27,179,84,中国,2018-04-01,伤病
P0257,球员257,T015,足球,后卫,93,1996-02-02,169,67,中国,2021-10-01,现役
P0258,球员258,T015,足球,门将,77,1992-01-15,171,54,中国,2015-04-01,现役
P0259,球员259,T015,足球,后卫,97,1997-01-05,179,64,中国,2023-05-01,现役
P0260,球员260,T015,足球,中场,31,2003-05-05,175,86,中国,2023-04-01,伤病
P0261,球员261,T015,足球,后卫,81,1994-11-14,173,53,中国,2023-08-01,现役
P0262,球员262,T015,足球,中场,90,1996-07-14,185,74,中国,2017-05-01,伤病
P0263,球员263,T015,足球,前锋,31,1990-04-10,189,84,中国,2017-08-01,现役
P0264,球员264,T015,足球,后卫,50,2002-04-09,178,76,中国,2018-06-01,现役
P0265,球员265,T015,足球,后卫,7,1999-05-13,176,55,中国,2015-02-01,现役
P0266,球员266,T015,足球,后卫,62,2003-04-28,188,85,中国,2020-05-01,现役
P0267,球员267,T015,足球,前锋,32,1991-12-20,171,57,中国,2018-07-01,现役
P0268,球员268,T015,足球,前锋,60,2002-09-21,175,68,中国,2020-05-01,现役
P0269,球员269,T015,足球,前锋,13,1996-12-16,181,81,中国,2020-04-01,现役
P0270,球员270,T015,足球,后卫,95,1995-03-01,178,52,中国,2019-09-01,停赛
P0271,球员271,T015,足球,中场,20,2003-04-11,188,76,中国,2018-07-01,停赛
P0272,球员272,T015,足球,中场,33,1992-08-24,180,85,中国,2022-08-01,现役
P0273,球员273,T015,足球,前锋,24,1996-09-21,170,58,中国,2015-09-01,现役
P0274,球员274,T015,足球,门将,53,1987-03-27,186,53,中国,2018-02-01,现役
P0275,球员275,T015,足球,前锋,48,1985-01-20,171,82,中国,2022-11-01,伤病
P0276,球员276,T016,足球,前锋,2,1985-01-17,182,85,中国,2019-09-01,现役
P0277,球员277,T016,足球,后卫,14,1985-02-17,181,77,中国,2017-04-01,现役
P0278,球员278,T016,足球,中场,35,2004-07-03,181,66,中国,2020-07-01,伤病
P0279,球员279,T016,足球,中场,88,2003-02-21,172,64,中国,2015-02-01,伤病
P0280,球员280,T016,足球,前锋,8,1997-11-01,177,85,中国,2017-02-01,伤病
P0281,球员281,T016,足球,门将,68,1998-01-08,185,71,中国,2018-12-01,停赛
P0282,球员282,T016,足球,门将,88,2000-05-18,173,52,中国,2015-03-01,现役
P0283,球员283,T016,足球,后卫,97,1985-12-27,171,87,中国,2021-02-01,现役
P0284,球员284,T016,足球,前锋,87,1990-09-11,183,65,中国,2021-12-01,现役
P0285,球员285,T016,足球,门将,13,1987-07-08,181,72,中国,2016-06-01,停赛
P0286,球员286,T016,足球,中场,4,2004-11-09,184,75,中国,2022-08-01,现役
P0287,球员287,T016,足球,前锋,24,1996-11-19,182,74,中国,2021-02-01,停赛
P0288,球员288,T016,足球,门将,11,1994-05-05,190,65,中国,2021-12-01,现役
P0289,球员289,T016,足球,门将,12,1997-01-10,175,73,中国,2022-06-01,现役
P0290,球员290,T016,足球,后卫,56,1988-08-18,169,55,中国,2023-09-01,伤病
P0291,球员291,T016,足球,中场,71,1988-02-20,165,55,中国,2020-07-01,现役
P0292,球员292,T016,足球,门将,93,1994-09-08,178,74,中国,2023-03-01,伤病
P0293,球员293,T016,足球,中场,35,1990-08-05,169,67,中国,2016-03-01,伤病
P0294,球员294,T016,足球,前锋,10,1993-06-09,178,69,中国,2018-12-01,伤病
P0295,球员295,T016,足球,前锋,14,2004-03-10,184,62,中国,2015-07-01,现役
P0296,球员296,T017,排球,二传,43,2004-07-27,184,71,中国,2017-05-01,现役
P0297,球员297,T017,排球,二传,41,2004-03-13,204,62,中国,2020-05-01,伤病
P0298,球员298,T017,排球,接应,49,2003-05-27,210,65,中国,2021-06-01,现役
P0299,球员299,T017,排球,自由人,24,2003-11-25,172,87,中国,2023-01-01,伤病
P0300,球员300,T017,排球,主攻,53,1991-11-16,188,68,中国,2017-11-01,现役
P0301,球员301,T017,排球,二传,49,1992-02-15,176,59,中国,2022-10-01,伤病
P0302,球员302,T017,排球,自由人,5,2002-06-23,192,76,中国,2023-10-01,现役
P0303,球员303,T017,排球,接应,22,1988-11-20,209,65,中国,2015-10-01,伤病
P0304,球员304,T017,排球,主攻,2,1995-02-09,210,77,中国,2018-09-01,停赛
P0305,球员305,T017,排球,副攻,58,2002-06-13,197,86,中国,2022-11-01,停赛
P0306,球员306,T017,排球,主攻,62,2001-02-10,169,72,中国,2021-02-01,现役
P0307,球员307,T017,排球,接应,59,1989-04-17,182,69,中国,2022-06-01,伤病
P0308,球员308,T017,排球,接应,9,1988-05-02,188,78,中国,2016-01-01,现役
P0309,球员309,T017,排球,副攻,67,2005-03-18,166,60,中国,2017-06-01,停赛
